id,selected,score
1,1,1000.0
2,1,1.0
3,1,1000.0
4,6,1.0
5,6,1000.0
6,8,1.0
7,1,1.0
8,6,0.75
9,7,0.8823529411764706
10,5,0.875
11,4,1.0
12,6,1.0
13,2,0.9333333333333333
14,6,0.9166666666666666
15,1,1.0
16,6,1.0
17,3,1.0
18,8,0.875
19,7,0.875
20,3,1.0
21,4,0.9411764705882353
22,3,0.7777777777777778
23,4,0.9230769230769231
24,8,1.0
25,6,0.75
26,6,0.9333333333333333
27,1,1.0
28,2,1.0
29,1,1.0
30,1,1.0
31,2,0.75
32,5,0.6666666666666666
33,4,0.75
34,2,0.75
35,3,0.8
36,5,0.7142857142857143
37,8,0.875
38,5,0.875
39,6,0.75
40,4,1.0
41,3,0.8181818181818182
42,3,1.0
43,7,0.9230769230769231
44,1,0.9090909090909091
45,2,1.0
46,4,0.9545454545454546
47,2,0.9090909090909091
48,3,0.9375
49,1,0.96
50,5,1.0
51,4,0.9375
52,7,0.9166666666666666
53,1,1.0
54,1,1000.0
55,2,0.6666666666666666
56,3,1000.0
57,4,1.0
58,1,0.75
59,1,0.5
60,5,1000.0
61,1,1.0
62,1,1.0
63,9,0.1
64,2,0.9090909090909091
65,1,0.8125
66,4,0.8461538461538461
67,5,0.9
68,5,0.875
69,7,0.8333333333333334
70,6,0.9230769230769231
71,8,0.9375
72,3,0.9166666666666666
73,1,0.9545454545454546
74,5,0.8461538461538461
75,2,0.8333333333333334
76,5,0.9285714285714286
77,8,0.8333333333333334
78,2,1.0
79,1,1.0
80,3,1.0
81,3,0.9090909090909091
82,5,1.0
83,7,1000.0
84,2,1000.0
85,4,0.9411764705882353
86,3,1.0
87,2,1.0
88,1,0.9
89,5,0.9
90,3,1.0
91,3,0.9375
92,1,0.875
93,5,0.8571428571428571
94,4,0.9230769230769231
95,1,0.75
96,7,0.8888888888888888
97,4,0.8333333333333334
98,5,0.8
99,6,0.8
100,3,1.0
